,Title,Views,Date_Time,Video_Link,Thumbnail_Link
0,How to Crack GATE Exam? | Topper’s Secret Strategy Revealed,278 views,3 hours ago,https://www.youtube.com//watch?v=-d1zUwlx8HQ,https://i.ytimg.com/vi/-d1zUwlx8HQ/hqdefault.jpg
1,DSA In Java | DP 03 | Java in One Shot | DP ( Dynamic Programming ) in Java,1.8K views,2 days ago,https://www.youtube.com//watch?v=ZLrE8tOGZrA,https://i.ytimg.com/vi/ZLrE8tOGZrA/hqdefault.jpg
2,Technical Scripter 2026 | How to Join & Win with GeeksforGeeks,622 views,4 days ago,https://www.youtube.com//watch?v=_3P-0yXBTao,https://i.ytimg.com/vi/_3P-0yXBTao/hqdefault.jpg
3,Future After B.Tech CSE | Top Career Options for CS Students,9.4K views,5 days ago,https://www.youtube.com//watch?v=URepBV8jHjA,https://i.ytimg.com/vi/URepBV8jHjA/hqdefault.jpg
4,Aggregate Functions in SQL for Beginners | Placement & Interviews,846 views,6 days ago,https://www.youtube.com//watch?v=Dr8x9rbUfUQ,https://i.ytimg.com/vi/Dr8x9rbUfUQ/hqdefault.jpg
5,DSA In Java | DP 02 | Java in One Shot | DP ( Dynamic Programming ) in Java,3.5K views,7 days ago,https://www.youtube.com//watch?v=Qg5fj0ruhEI,https://i.ytimg.com/vi/Qg5fj0ruhEI/hqdefault.jpg
6,NIMCET 2026 Crash Course Batch LAUNCH! 🔥 Complete Course in 90 DAYS,934 views,8 days ago,https://www.youtube.com//watch?v=hLa7OQPNqBo,https://i.ytimg.com/vi/hLa7OQPNqBo/hqdefault.jpg
7,Strongest TEAM of CS & DA in INDIA 🔥| Unstoppable TEAM United | Abdul Bari JOINED the GfG Revolution,2.8K views,9 days ago,https://www.youtube.com//watch?v=_T0bdTsX0rg,https://i.ytimg.com/vi/_T0bdTsX0rg/hqdefault.jpg
8,Complete Data Science Roadmap 2026 | How To Become a Data Scientist Step by Step,1.3K views,10 days ago,https://www.youtube.com//watch?v=Qd6uWWd2Yoo,https://i.ytimg.com/vi/Qd6uWWd2Yoo/hqdefault.jpg
9,HOW TO CRACK NIMCET ? Complete Roadmap for Beginners in 2026,2.8K views,11 days ago,https://www.youtube.com//watch?v=Besi1rnkYvs,https://i.ytimg.com/vi/Besi1rnkYvs/hqdefault.jpg
10,How Do I Win Three 90 Challenge? All Questions Answered | GeeksforGeeks,402 views,12 days ago,https://www.youtube.com//watch?v=AGGqRQLWsjA,https://i.ytimg.com/vi/AGGqRQLWsjA/hqdefault.jpg
11,What Should You Do in B.Tech 1st & 2nd Year? | Complete Roadmap for Students | B.Tech Roadmap,2.2K views,13 days ago,https://www.youtube.com//watch?v=eixx5s2VFRg,https://i.ytimg.com/vi/eixx5s2VFRg/hqdefault.jpg
12,DSA In Java | DP 01 | Java in One Shot | DP ( Dynamic Programming ) in Java,7.1K views,2 weeks ago,https://www.youtube.com//watch?v=NCzwXEutr30,https://i.ytimg.com/vi/NCzwXEutr30/hqdefault.jpg
13,GATE 2026 | How to Score 55+ Marks with the Easiest CS Topics,17K views,2 weeks ago,https://www.youtube.com//watch?v=BijzqYEMtbw,https://i.ytimg.com/vi/BijzqYEMtbw/hqdefault.jpg
14,DSA In Java | Bit Manipulation | Java in One Shot | Bit Manipulation in Java,4.2K views,2 weeks ago,https://www.youtube.com//watch?v=cXHU1Zej4qA,https://i.ytimg.com/vi/cXHU1Zej4qA/hqdefault.jpg
15,Ready to take your money back? Introducing Three 90 Challenge by GeeksforGeeks!,1.3K views,3 weeks ago,https://www.youtube.com//watch?v=VViN3Z-svoQ,https://i.ytimg.com/vi/VViN3Z-svoQ/hqdefault.jpg
16,Complete the Course- Take Your Money Back | Three 90 Challenge by GeeksforGeeks,5.2K views,3 weeks ago,https://www.youtube.com//watch?v=Bul9eqiZClc,https://i.ytimg.com/vi/Bul9eqiZClc/hqdefault.jpg
17,DSA In Java | Hashmap 02 | Java in One Shot | Hashmap in Java,3K views,3 weeks ago,https://www.youtube.com//watch?v=pAho3GrFHPA,https://i.ytimg.com/vi/pAho3GrFHPA/hqdefault.jpg
18,GSOC 2026 Complete Roadmap for Beginners | Google Summer of Code Preparation Guide,14K views,3 weeks ago,https://www.youtube.com//watch?v=m_jJapV8NGY,https://i.ytimg.com/vi/m_jJapV8NGY/hqdefault.jpg
19,DSA In Java | Hashmap 01 | Java in One Shot | Hashmap in Java,5.3K views,4 weeks ago,https://www.youtube.com//watch?v=0DJifcw2UGI,https://i.ytimg.com/vi/0DJifcw2UGI/hqdefault.jpg
20,Synthetic Empathy Explained | Are Machines Replacing Human Connection?,781 views,4 weeks ago,https://www.youtube.com//watch?v=gCMGXwUiUDw,https://i.ytimg.com/vi/gCMGXwUiUDw/hqdefault.jpg
21,Top AI Tools in 2025 | Complete AI Tier List Explained,1.2K views,1 month ago,https://www.youtube.com//watch?v=w70XVzGO6vQ,https://i.ytimg.com/vi/w70XVzGO6vQ/hqdefault.jpg
22,DSA In Java | Heap 02 | Java in One Shot | Heap in Java,3.8K views,1 month ago,https://www.youtube.com//watch?v=IZz-Q4L5c4A,https://i.ytimg.com/vi/IZz-Q4L5c4A/hqdefault.jpg
23,Free AIMT by GfG | All India Mock Test Details & Registration Process,1.6K views,1 month ago,https://www.youtube.com//watch?v=1ne4JugUKv8,https://i.ytimg.com/vi/1ne4JugUKv8/hqdefault.jpg
24,"MERN vs Data Science | Salary, Jobs & Future Scope Explained",3.8K views,1 month ago,https://www.youtube.com//watch?v=tCbgJZbblLU,https://i.ytimg.com/vi/tCbgJZbblLU/hqdefault.jpg
25,All About GATE 2027 | Syllabus | Exam Pattern | Cut Off | Eligibility Criteria | GATE 2027 Roadmap,9.3K views,1 month ago,https://www.youtube.com//watch?v=m_CY-DIv6Pk,https://i.ytimg.com/vi/m_CY-DIv6Pk/hqdefault.jpg
26,Free Courses FAQs | Nation SkillUp | Utilize Nation Skillup to Learn & Win Rewards!,5.7K views,1 month ago,https://www.youtube.com//watch?v=PNjj29gbIo0,https://i.ytimg.com/vi/PNjj29gbIo0/hqdefault.jpg
27,Ultimate Gen AI Project for Students | Build a Real-World AI,809 views,1 month ago,https://www.youtube.com//watch?v=96Xr3KTU7S4,https://i.ytimg.com/vi/96Xr3KTU7S4/hqdefault.jpg
28,When Should You Use Generative AI? (Real-World Examples),545 views,1 month ago,https://www.youtube.com//watch?v=QN60QTMKWBk&pp=0gcJCXwKAYcqIYzv,https://i.ytimg.com/vi/QN60QTMKWBk/hqdefault.jpg
